k,t,eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,0.05,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
3,0.05,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.05,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.05,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.05,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.05,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.05,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.1,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
3,0.1,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
3,0.1,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.1,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
3,0.1,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
3,0.1,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
3,0.1,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.1,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.1,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.1,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.1,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
3,0.1,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.01,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
4,0.01,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
4,0.01,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
4,0.01,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
4,0.01,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
4,0.01,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
4,0.01,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.01,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.01,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.01,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.01,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.01,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.025,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
4,0.025,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
4,0.025,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
4,0.025,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
4,0.025,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
4,0.025,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
4,0.025,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.025,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.025,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.025,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.025,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.025,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.05,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
4,0.05,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
4,0.05,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
4,0.05,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
4,0.05,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
4,0.05,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
4,0.05,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.05,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.05,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.05,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.05,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.05,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.1,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
4,0.1,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
4,0.1,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
4,0.1,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
4,0.1,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
4,0.1,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
4,0.1,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.1,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.1,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.1,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.1,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
4,0.1,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.01,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
5,0.01,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
5,0.01,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.01,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
5,0.01,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
5,0.01,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
5,0.01,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.01,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.01,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.01,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.01,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.01,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.025,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
5,0.025,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
5,0.025,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.025,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
5,0.025,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
5,0.025,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
5,0.025,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.025,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.025,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.025,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.025,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.025,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.05,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
5,0.05,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
5,0.05,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.05,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
5,0.05,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
5,0.05,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
5,0.05,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.05,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.05,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.05,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.05,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.05,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.1,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
5,0.1,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
5,0.1,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.1,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
5,0.1,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
5,0.1,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
5,0.1,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.1,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.1,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.1,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.1,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
5,0.1,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.01,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
30,0.01,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
30,0.01,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
30,0.01,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
30,0.01,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
30,0.01,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
30,0.01,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.01,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.01,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.01,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.01,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.01,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.025,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
30,0.025,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
30,0.025,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
30,0.025,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
30,0.025,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
30,0.025,0.025,10,0.22443462384024213,0.42826784435839976,1.0,0.3177461960006974,1028.8806603133125,0.6247842036532109,0.6154663479319726
30,0.025,0.05,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.025,0.05,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.025,0.05,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.025,0.1,3,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.025,0.1,5,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.025,0.1,10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
30,0.05,0.01,3,0.01983507329131796,0.24368200178496324,1.0,0.3291803668376281,3918.7855470353834,0.8397045478738592,0.5435655421712671
30,0.05,0.01,5,0.10324690515927518,0.3678948905098646,1.0,0.4205250774166187,2546.9911585144496,0.6904579316771196,0.5915556851556136
30,0.05,0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
30,0.05,0.025,3,0.9761556592960234,0.9429198021551107,0.996,-0.005112288871327815,313.79031831616953,2.5787715916214187,0.2794254884388792
30,0.05,0.025,5,0.9682241969696549,0.9363548946650091,0.992,0.4045681642814434,938.9334233729792,0.9811658216161224,0.504753306911108
