significance,split_viewers_threshold,pval_strategy,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.001,0.1,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.001,0.1,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.005,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.005,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.005,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.01,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.01,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.01,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.05,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.05,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.05,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.1,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.1,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.005,0.1,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.005,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.005,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.005,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.01,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.01,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.01,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.05,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.05,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.05,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.1,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.1,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.01,0.1,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.1,0.005,table,0.9996929900844808,0.9956505380600555,0.9998461538461538,0.8285453764776125,67319.39105515643,0.4219500384857041,0.703259589250367
0.1,0.005,function,0.9996929900844808,0.9956505380600555,0.9998461538461538,0.8285453764776125,67319.39105515643,0.4219500384857041,0.703259589250367
0.1,0.005,bootstrap,0.9996929900844808,0.9956505380600555,0.9998461538461538,0.8285453764776125,67319.39105515643,0.4219500384857041,0.703259589250367
0.1,0.01,table,0.9996929900844808,0.9956505380600555,0.9998461538461538,0.8285453764776125,67319.39105515643,0.4219500384857041,0.703259589250367
0.1,0.01,function,0.9996929900844808,0.9956505380600555,0.9998461538461538,0.8285453764776125,67319.39105515643,0.4219500384857041,0.703259589250367
0.1,0.01,bootstrap,0.9996929900844808,0.9956505380600555,0.9998461538461538,0.8285453764776125,67319.39105515643,0.4219500384857041,0.703259589250367
0.1,0.05,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.1,0.05,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.1,0.05,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.1,0.1,table,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.1,0.1,function,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
0.1,0.1,bootstrap,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
